Anio;Periodo;CodigoDistrito;NombreDistrito;CodigoBarrio;NombreBarrio;DatoPoblacion;DatoPoblacionMenor16;DatoPoblacionEntre16y64;DatoPoblacionMayor65;DatoSobreEnvejecimiento;DatoSobreenvejecimientoHombres;DatoSobreenvejecimientoMujeres;DatoFeminidad;DatoNacionalidadExtranjera;DatoParadosRegistrados;DatoParadosRegistradosHombres;DatoParadosRegistradosMujer;DatoAfiliacionesTrabajo;DatoAfiliacionesTrabajoHombres;DatoAfiliacionesTrabajoMujer;DatoAfiliacionesResidencia;DatoAfiliacionesResidenciaHombres;DatoAfiliacionesResidenciaMujer;DatoAutonomo;DatoAutonomosHombres;DatoAutonomosMujer
2011;Anual;4;Salamanca;46;Castellana;16882;11.96;66.03;22.01;37.5;29.4;42.1;133.1;14.26;;;;28835.0;13.978;14.857;;;;1974.0;1.220;754
2012;Anual;4;Salamanca;46;Castellana;16748;12.06;65.79;22.16;37.24;29.3;41.7;132.1;13.44;571.0;236;335;28527.0;13.715;14.812;;;;1722.0;1.078;644
2013;Anual;4;Salamanca;46;Castellana;16958;11.96;65.88;22.16;37.17;28.5;42.1;131.7;14.35;505.0;186;319;28716.0;13.063;15.653;5734.0;2.601;3.133;1750.0;1.098;652
2014;Anual;4;Salamanca;46;Castellana;16859;12.02;65.34;22.65;36.9;28.8;41.5;130.4;14.37;482.0;193;289;29145.0;13.480;15.665;5107.0;2.338;2.769;1967.0;1.217;750
2015;Anual;4;Salamanca;46;Castellana;16684;12.09;65.0;22.91;36.28;28.8;40.6;129.4;13.17;430.0;181;249;29280.0;13.702;15.578;5045.0;2.329;2.716;2020.0;1.242;778
2016;Anual;4;Salamanca;46;Castellana;16842;12.04;65.13;22.83;35.94;28.6;40.2;129.5;14.62;428.0;163;265;29864.0;13.936;15.928;5811.0;2.725;3.086;1945.0;1.206;739
2017;Anual;4;Salamanca;46;Castellana;17016;12.0;65.27;22.73;36.38;29.1;40.7;128.6;15.47;401.0;162;239;30251.0;14.227;16.024;5986.0;2.757;3.229;2150.0;1.321;829
2018;Anual;4;Salamanca;46;Castellana;16946;11.7;65.27;23.03;34.54;28.0;38.4;129.0;15.51;365.0;152;213;30687.0;14.149;16.024;6049.0;2.779;3.270;1712.0;1.063;829
2019;Anual;4;Salamanca;46;Castellana;17124;11.65;65.2;23.15;34.2;27.6;38.2;130.2;16.44;364.0;140;224;32875.0;15.439;17.436;6158.0;2.862;3.296;2300.0;1.434;866
2020;Anual;4;Salamanca;46;Castellana;17297;11.55;65.24;23.21;33.2;26.6;37.2;129.6;17.99;465.0;208;257;34490.0;16.039;18.451;6179.0;2.920;3.259;2414.0;1.493;921
2021;Anual;4;Salamanca;46;Castellana;17142;11.45;65.35;23.2;33.0;26.8;36.7;128.7;19.07;368.0;161;207;32985.0;15.706;17.279;6113.0;2.866;3.247;2347.0;1.451;896
2022;Anual;4;Salamanca;46;Castellana;17015;10.75;65.76;23.49;33.0;27.7;36.2;128.4;19.8;256.0;113;143;35518.0;17.080;18.438;6143.0;2.895;3.248;2353.0;1.461;892
2005;Anual;15;Ciudad Lineal;152;Pueblo Nuevo;64979;12.69;67.67;19.64;23.16;19.3;25.8;111.2;18.94;;;;;;;;;;;;
2006;Anual;15;Ciudad Lineal;152;Pueblo Nuevo;65309;12.66;67.46;19.88;24.25;20.3;26.9;111.6;20.74;;;;;;;;;;;;
2007;Anual;15;Ciudad Lineal;152;Pueblo Nuevo;64447;12.66;67.44;19.9;25.64;21.9;28.2;111.3;21.07;;;;;;;;;;;;
2008;Anual;15;Ciudad Lineal;152;Pueblo Nuevo;65172;12.62;67.81;19.57;26.62;23.2;28.9;110.7;22.36;;;;;;;;;;;;
2009;Anual;15;Ciudad Lineal;152;Pueblo Nuevo;65415;12.73;67.65;19.62;28.03;24.4;30.4;111.4;22.75;;;;;;;;;;;;
2010;Anual;15;Ciudad Lineal;152;Pueblo Nuevo;65328;12.79;67.29;19.92;29.39;25.5;32.0;111.7;22.53;;;;9732.0;5.324;4.408;;;;2290.0;1.588;702
2011;Anual;15;Ciudad Lineal;152;Pueblo Nuevo;64351;12.89;66.7;20.41;30.64;26.9;33.1;112.7;21.58;;;;9887.0;5.362;4.525;;;;2291.0;1.587;704
2012;Anual;15;Ciudad Lineal;152;Pueblo Nuevo;63242;12.87;66.15;20.98;32.18;28.3;34.7;114.2;19.49;5085.0;2.641;2.444;9448.0;5.106;4.342;;;;2020.0;1.414;606
2013;Anual;15;Ciudad Lineal;152;Pueblo Nuevo;62024;12.93;65.66;21.41;33.65;29.8;36.2;115.4;17.49;5089.0;2.615;2.474;9333.0;4.583;4.750;22456.0;10.548;11.908;2054.0;1.416;638
2014;Anual;15;Ciudad Lineal;152;Pueblo Nuevo;60794;12.93;65.12;21.95;35.32;32.0;37.5;116.6;15.8;4678.0;2.365;2.313;8357.0;4.360;3.997;19655.0;9.129;10.526;2285.0;1.558;727
2015;Anual;15;Ciudad Lineal;152;Pueblo Nuevo;60150;12.88;64.83;22.28;36.6;33.3;38.8;116.1;14.35;4321.0;2.064;2.257;8991.0;4.815;4.176;19625.0;9.135;10.490;2395.0;1.602;793
2016;Anual;15;Ciudad Lineal;152;Pueblo Nuevo;60310;12.93;64.81;22.26;37.1;33.1;39.7;116.3;14.46;3826.0;1.778;2.048;9032.0;4.923;4.109;22545.0;10.579;11.966;2413.0;1.591;822
2017;Anual;15;Ciudad Lineal;152;Pueblo Nuevo;60415;12.93;64.87;22.2;37.6;33.4;40.4;117.0;14.7;3411.0;1.496;1.915;8781.0;5.007;3.774;23621.0;11.080;12.541;2533.0;1.681;852
2018;Anual;15;Ciudad Lineal;152;Pueblo Nuevo;61160;12.67;65.25;22.09;38.01;34.2;40.5;116.1;15.64;3011.0;1.331;1.680;8894.0;5.165;3.729;23978.0;11.327;12.651;2243.0;1.494;749
2019;Anual;15;Ciudad Lineal;152;Pueblo Nuevo;62111;12.48;65.74;21.78;37.8;34.0;40.4;115.4;17.27;3135.0;1.413;1.722;9042.0;5.146;3.896;25108.0;11.906;13.202;2768.0;1.841;927
2020;Anual;15;Ciudad Lineal;152;Pueblo Nuevo;63521;12.24;66.24;21.52;37.0;33.1;39.5;116.1;18.82;4137.0;1.812;2.325;8893.0;5.014;3.879;25456.0;12.224;13.232;2929.0;1.946;983
2021;Anual;15;Ciudad Lineal;152;Pueblo Nuevo;62731;11.98;66.5;21.53;37.0;32.6;39.9;116.8;19.11;3359.0;1.468;1.891;8370.0;4.735;3.635;25211.0;12.101;13.110;2799.0;1.886;913
2022;Anual;15;Ciudad Lineal;152;Pueblo Nuevo;61935;11.79;66.38;21.83;36.4;31.9;39.2;116.7;18.99;2676.0;1.158;1.518;9124.0;4.953;4.171;25972.0;12.419;13.553;2708.0;1.807;901
2005;Anual;4;Salamanca;45;Lista;22236;11.71;66.21;22.08;36.56;28.7;40.0;131.5;14.33;;;;;;;;;;;;
2006;Anual;4;Salamanca;45;Lista;22200;11.6;66.18;22.22;37.18;29.0;40.9;131.4;15.14;;;;;;;;;;;;
2007;Anual;4;Salamanca;45;Lista;21378;11.68;65.67;22.64;37.86;29.5;41.7;132.9;13.7;;;;;;;;;;;;
2008;Anual;4;Salamanca;45;Lista;21255;11.46;65.81;22.73;37.52;29.6;41.3;134.0;13.49;;;;;;;;;;;;
2009;Anual;4;Salamanca;45;Lista;21341;11.21;66.23;22.56;37.43;29.3;41.3;133.8;14.43;;;;;;;;;;;;
2010;Anual;4;Salamanca;45;Lista;21322;11.39;66.02;22.59;38.23;30.4;42.0;133.3;14.77;;;;18985.0;7.539;11.446;;;;1421.0;862;559
2011;Anual;4;Salamanca;45;Lista;21328;11.34;66.07;22.59;38.58;29.6;43.1;132.7;14.9;;;;19146.0;7.639;11.507;;;;1497.0;898;599
2012;Anual;4;Salamanca;45;Lista;21103;11.4;65.62;22.98;38.96;30.3;43.3;133.0;13.85;1134.0;479;655;17036.0;6.695;10.341;;;;1295.0;781;514
2013;Anual;4;Salamanca;45;Lista;21029;11.38;65.41;23.21;39.11;30.7;43.5;133.1;13.69;989.0;424;565;17867.0;6.540;11.327;7208.0;3.342;3.866;1337.0;809;528
2014;Anual;4;Salamanca;45;Lista;20641;11.39;64.77;23.84;38.7;31.0;42.8;132.9;12.77;901.0;379;522;17311.0;6.393;10.918;6409.0;2.930;3.479;1481.0;894;587
2015;Anual;4;Salamanca;45;Lista;20339;11.56;64.28;24.16;38.62;30.6;42.9;132.4;12.17;818.0;325;493;17718.0;6.688;11.030;6298.0;2.893;3.405;1492.0;895;597
2016;Anual;4;Salamanca;45;Lista;20633;11.62;64.48;23.9;38.08;30.1;42.3;132.6;13.0;747.0;318;429;16603.0;6.429;10.174;7181.0;3.279;3.902;1475.0;874;601
2017;Anual;4;Salamanca;45;Lista;20757;11.64;64.46;23.9;37.9;30.0;42.2;133.5;13.34;685.0;283;402;17016.0;6.653;10.363;7618.0;3.458;4.160;1602.0;953;649
2018;Anual;4;Salamanca;45;Lista;20956;11.47;64.57;23.96;37.69;30.0;41.9;132.3;13.41;603.0;247;356;16669.0;6.332;10.363;7665.0;3.507;4.158;1320.0;790;649
2019;Anual;4;Salamanca;45;Lista;20961;11.3;64.79;23.91;36.6;28.9;40.9;131.9;13.73;624.0;258;366;17696.0;6.930;10.766;8044.0;3.704;4.340;1816.0;1.047;769
2020;Anual;4;Salamanca;45;Lista;21211;10.89;65.42;23.69;35.4;28.7;39.1;132.8;15.1;791.0;331;460;17705.0;6.939;10.766;8061.0;3.751;4.310;1889.0;1.100;789
2021;Anual;4;Salamanca;45;Lista;20864;10.8;65.39;23.81;35.5;29.5;38.9;131.1;;630.0;265;365;17153.0;6.707;10.446;7953.0;3.655;4.298;1786.0;1.050;736
2022;Anual;4;Salamanca;45;Lista;20785;10.59;65.29;24.12;35.2;29.4;38.5;131.0;;467.0;192;275;17425.0;6.837;10.588;8131.0;3.763;4.368;1808.0;1.052;756
2005;Anual;9;Moncloa - Aravaca;92;Argüelles;26126;10.05;66.36;23.57;36.23;30.6;39.1;126.2;14.31;;;;;;;;;;;;
2006;Anual;9;Moncloa - Aravaca;92;Argüelles;26265;10.05;66.54;23.4;37.0;31.2;39.9;125.4;15.1;;;;;;;;;;;;
2007;Anual;9;Moncloa - Aravaca;92;Argüelles;25463;10.17;66.12;23.71;37.93;32.1;40.9;126.7;14.03;;;;;;;;;;;;
2008;Anual;9;Moncloa - Aravaca;92;Argüelles;25142;10.03;65.95;24.02;38.16;31.5;41.6;128.2;14.09;;;;;;;;;;;;
2009;Anual;9;Moncloa - Aravaca;92;Argüelles;25069;9.81;66.34;23.85;38.41;32.1;41.7;127.1;14.89;;;;;;;;;;;;
2010;Anual;9;Moncloa - Aravaca;92;Argüelles;24854;9.76;66.2;24.04;38.98;32.8;42.3;126.6;14.87;;;;19732.0;10.031;9.701;;;;1607.0;1.001;606
2011;Anual;9;Moncloa - Aravaca;92;Argüelles;24909;9.9;65.88;24.22;39.57;33.3;42.9;126.1;14.54;;;;20605.0;10.562;10.043;;;;1690.0;1.035;655
2012;Anual;9;Moncloa - Aravaca;92;Argüelles;24375;9.95;65.49;24.57;38.93;31.9;42.6;125.9;13.25;1237.0;567;670;20546.0;10.487;10.059;;;;1452.0;918;534
2013;Anual;9;Moncloa - Aravaca;92;Argüelles;24469;9.91;65.67;24.42;38.68;31.4;42.6;125.5;13.24;1162.0;560;602;20592.0;10.108;10.484;8517.0;4.021;4.496;1527.0;951;576
2014;Anual;9;Moncloa - Aravaca;92;Argüelles;24073;9.96;65.27;24.77;38.99;31.7;43.0;124.2;12.93;1086.0;515;571;19040.0;9.360;9.680;7425.0;3.504;3.921;1709.0;1.048;661
2015;Anual;9;Moncloa - Aravaca;92;Argüelles;23875;10.03;64.89;25.08;39.41;32.7;43.1;123.8;12.26;986.0;448;538;19691.0;9.410;10.281;7357.0;3.480;3.877;1792.0;1.076;716
2016;Anual;9;Moncloa - Aravaca;92;Argüelles;23935;10.02;65.03;24.96;39.54;32.1;43.8;122.0;12.05;918.0;425;493;17649.0;7.985;9.664;8436.0;3.974;4.462;1787.0;1.057;730
2017;Anual;9;Moncloa - Aravaca;92;Argüelles;23931;10.24;64.79;24.97;38.72;30.8;43.3;121.4;11.94;822.0;371;451;18197.0;8.280;9.917;8928.0;4.264;4.664;1948.0;1.154;794
2018;Anual;9;Moncloa - Aravaca;92;Argüelles;23992;10.05;64.75;25.2;38.59;30.5;43.4;120.3;11.82;771.0;352;419;17672.0;7.904;9.768;8905.0;4.309;4.596;1530.0;927;603
2019;Anual;9;Moncloa - Aravaca;92;Argüelles;24093;9.94;65.02;25.03;38.1;29.8;43.0;120.9;12.42;733.0;338;395;17961.0;8.256;9.705;9064.0;4.437;4.627;2095.0;1.241;854
2020;Anual;9;Moncloa - Aravaca;92;Argüelles;24423;10.01;65.3;24.7;36.9;28.6;41.8;120.5;13.73;1006.0;458;548;17306.0;8.075;9.231;9244.0;4.519;4.725;2196.0;1.282;914
2021;Anual;9;Moncloa - Aravaca;92;Argüelles;24162;9.99;65.38;24.64;36.2;27.9;41.2;120.2;14.75;764.0;352;412;16304.0;7.769;8.535;9277.0;4.541;4.736;2112.0;1.226;886
2022;Anual;9;Moncloa - Aravaca;92;Argüelles;24165;9.94;65.45;24.61;35.6;27.1;40.8;119.0;15.2;578.0;266;312;16978.0;8.077;8.901;9383.0;4.563;4.820;2081.0;1.216;865
2005;Anual;20;San Blas - Canillejas;202;Hellín;9748;10.45;54.87;34.67;20.27;18.7;21.3;112.5;6.65;;;;;;;;;;;;
2006;Anual;20;San Blas - Canillejas;202;Hellín;9690;10.8;55.21;33.98;22.2;20.7;23.1;113.1;8.57;;;;;;;;;;;;
2007;Anual;20;San Blas - Canillejas;202;Hellín;9717;10.73;56.41;32.86;25.18;24.3;25.7;113.8;10.74;;;;;;;;;;;;
2008;Anual;20;San Blas - Canillejas;202;Hellín;9761;11.36;57.07;31.56;28.4;28.4;28.4;114.2;12.35;;;;;;;;;;;;
2009;Anual;20;San Blas - Canillejas;202;Hellín;9737;11.32;57.86;30.82;32.56;32.4;32.7;114.5;12.94;;;;;;;;;;;;
2010;Anual;20;San Blas - Canillejas;202;Hellín;9559;11.6;58.01;30.39;36.04;35.5;36.3;115.9;12.06;;;;257.0;178;79;;;;152.0;110;42
2011;Anual;20;San Blas - Canillejas;202;Hellín;9376;11.42;58.31;30.27;39.96;40.6;39.6;118.4;11.73;;;;243.0;166;77;;;;140.0;100;40
2012;Anual;20;San Blas - Canillejas;202;Hellín;9193;11.26;59.0;29.74;43.96;44.3;43.8;117.3;10.89;851.0;450;401;252.0;176;76;;;;121.0;87;34
2013;Anual;20;San Blas - Canillejas;202;Hellín;9108;11.66;59.15;29.19;48.63;48.6;48.6;117.3;10.1;; - ; - ;290.0;172;118;2800.0;1.371;1.429;125.0;86;39
2014;Anual;20;San Blas - Canillejas;202;Hellín;8853;11.32;59.38;29.3;52.54;52.6;52.5;119.1;8.83;876.0;441;435;338.0;196;142;2418.0;1.191;1.227;145.0;103;42
2015;Anual;20;San Blas - Canillejas;202;Hellín;8708;11.28;60.47;28.25;56.5;55.2;57.2;119.7;7.8;857.0;436;421;310.0;177;133;2464.0;1.212;1.252;150.0;107;43
2016;Anual;20;San Blas - Canillejas;202;Hellín;8741;11.63;61.37;27.0;58.26;55.6;59.6;120.4;8.71;783.0;371;412;305.0;165;140;2849.0;1.371;1.478;151.0;105;46
2017;Anual;20;San Blas - Canillejas;202;Hellín;8830;12.08;61.83;26.08;60.31;55.5;62.8;120.1;9.05;712.0;324;388;309.0;171;138;3129.0;1.540;1.589;157.0;111;46
2018;Anual;20;San Blas - Canillejas;202;Hellín;8941;11.75;63.06;25.19;61.01;54.4;64.5;118.4;10.38;657.0;310;347;297.0;153;144;3251.0;1.601;1.650;116.0;81;35
2019;Anual;20;San Blas - Canillejas;202;Hellín;9157;12.33;63.99;23.68;60.8;53.0;65.1;119.0;12.53;675.0;296;379;353.0;194;159;3389.0;1.668;1.721;184.0;126;58
2020;Anual;20;San Blas - Canillejas;202;Hellín;9342;12.55;64.89;22.56;58.4;49.1;63.5;119.3;14.46;841.0;381;460;345.0;201;144;3537.0;1.739;1.798;203.0;143;60
2021;Anual;20;San Blas - Canillejas;202;Hellín;9359;12.46;66.31;21.23;57.0;46.4;62.7;117.7;16.27;701.0;282;419;352.0;209;143;3478.0;1.679;1.799;205.0;147;58
2022;Anual;20;San Blas - Canillejas;202;Hellín;9274;12.62;66.72;20.66;52.9;40.8;59.6;117.1;16.9;596.0;246;350;365.0;207;158;3732.0;1.826;1.906;201.0;144;57
2005;Anual;15;Ciudad Lineal;151;Ventas;53164;11.89;64.72;23.39;25.02;19.9;28.2;117.4;18.17;;;;;;;;;;;;
2006;Anual;15;Ciudad Lineal;151;Ventas;52934;11.86;64.39;23.75;25.78;21.1;28.7;117.3;19.51;;;;;;;;;;;;
2007;Anual;15;Ciudad Lineal;151;Ventas;51686;11.78;64.14;24.07;26.82;22.6;29.4;118.8;19.47;;;;;;;;;;;;
2008;Anual;15;Ciudad Lineal;151;Ventas;52003;11.87;64.35;23.78;27.9;24.1;30.3;118.5;20.69;;;;;;;;;;;;
2009;Anual;15;Ciudad Lineal;151;Ventas;52265;12.14;64.2;23.66;29.43;25.9;31.6;118.7;21.31;;;;;;;;;;;;
2010;Anual;15;Ciudad Lineal;151;Ventas;52017;12.12;64.08;23.8;30.8;27.5;32.8;119.1;21.07;;;;5473.0;3.436;2.037;;;;1661.0;1.133;528
2011;Anual;15;Ciudad Lineal;151;Ventas;50866;12.15;63.78;24.06;32.39;29.7;34.0;120.1;20.27;;;;5632.0;3.546;2.086;;;;1683.0;1.135;548
2012;Anual;15;Ciudad Lineal;151;Ventas;50149;12.13;63.56;24.32;34.48;32.7;35.5;120.6;18.8;3796.0;1.932;1.864;5098.0;3.162;1.936;;;;1498.0;1.020;478
2013;Anual;15;Ciudad Lineal;151;Ventas;49251;12.0;63.33;24.66;36.38;34.5;37.5;121.6;17.3;3767.0;1.927;1.840;5683.0;3.142;2.541;17093.0;7.792;9.301;1537.0;1.046;491
2014;Anual;15;Ciudad Lineal;151;Ventas;48131;11.98;62.96;25.07;38.14;36.3;39.3;121.8;15.52;3606.0;1.789;1.817;5510.0;2.919;2.591;14941.0;6.736;8.205;1643.0;1.089;554
2015;Anual;15;Ciudad Lineal;151;Ventas;47301;11.83;62.89;25.28;39.79;38.3;40.7;122.2;14.07;3293.0;1.551;1.742;5617.0;2.981;2.636;14924.0;6.800;8.124;1645.0;1.067;578
2016;Anual;15;Ciudad Lineal;151;Ventas;47445;11.91;63.18;24.9;41.22;39.0;42.5;122.4;14.29;2914.0;1.379;1.535;6204.0;3.171;3.033;16891.0;7.700;9.191;1721.0;1.143;578
2017;Anual;15;Ciudad Lineal;151;Ventas;47306;11.81;63.43;24.76;42.76;39.9;44.4;123.0;14.4;2710.0;1.211;1.499;6349.0;3.263;3.086;17890.0;8.254;9.636;1834.0;1.217;617
2018;Anual;15;Ciudad Lineal;151;Ventas;47744;11.74;64.04;24.21;43.85;41.3;45.4;123.1;15.41;2492.0;1.082;1.410;6007.0;3.237;2.770;18083.0;8.436;9.647;1636.0;1.121;515
2019;Anual;15;Ciudad Lineal;151;Ventas;48099;11.49;64.84;23.68;43.8;41.3;45.3;122.5;16.47;2511.0;1.145;1.366;6511.0;3.496;3.015;18939.0;8.857;10.082;2068.0;1.372;696
2020;Anual;15;Ciudad Lineal;151;Ventas;48891;11.24;65.52;23.24;42.8;39.7;44.6;122.8;17.79;3208.0;1.457;1.751;6804.0;3.648;3.156;19350.0;9.130;10.220;2136.0;1.412;724
2021;Anual;15;Ciudad Lineal;151;Ventas;48411;11.16;65.84;23.0;43.4;39.6;45.6;122.9;18.46;2619.0;1.176;1.443;6339.0;3.397;2.942;19373.0;9.165;10.208;2095.0;1.398;697
2022;Anual;15;Ciudad Lineal;151;Ventas;47801;10.87;66.11;23.02;42.8;38.9;45.2;122.3;18.5;2161.0;981;1.180;6383.0;3.451;2.932;19984.0;9.402;10.582;2010.0;1.339;671
2005;Anual;4;Salamanca;43;Fuente del Berro;22998;11.38;67.11;21.51;31.54;26.3;34.3;123.6;15.17;;;;;;;;;;;;
2006;Anual;4;Salamanca;43;Fuente del Berro;22954;11.12;67.03;21.86;31.67;26.0;34.8;124.5;15.91;;;;;;;;;;;;
2007;Anual;4;Salamanca;43;Fuente del Berro;22193;11.19;66.59;22.22;32.55;27.3;35.5;125.6;14.38;;;;;;;;;;;;
2008;Anual;4;Salamanca;43;Fuente del Berro;22328;11.25;66.64;22.11;33.28;28.0;36.2;126.1;14.99;;;;;;;;;;;;
2009;Anual;4;Salamanca;43;Fuente del Berro;22214;11.25;66.43;22.32;33.5;28.7;36.1;126.6;15.23;;;;;;;;;;;;
2010;Anual;4;Salamanca;43;Fuente del Berro;22161;11.38;66.29;22.32;34.55;30.0;37.1;127.2;15.25;;;;7989.0;4.550;3.439;;;;939.0;560;379
2011;Anual;4;Salamanca;43;Fuente del Berro;21997;11.56;65.98;22.46;35.34;30.2;38.2;128.4;14.69;;;;8481.0;5.013;3.468;;;;963.0;574;389
2012;Anual;4;Salamanca;43;Fuente del Berro;21629;11.4;65.74;22.86;36.1;31.3;38.7;128.9;13.31;1273.0;585;688;7914.0;4.716;3.198;;;;832.0;507;325
2013;Anual;4;Salamanca;43;Fuente del Berro;21457;11.42;65.47;23.11;37.02;31.9;39.9;129.1;12.61;1235.0;572;663;8684.0;4.751;3.933;7940.0;3.595;4.345;881.0;539;342
2014;Anual;4;Salamanca;43;Fuente del Berro;21127;11.54;64.77;23.68;37.72;33.1;40.3;129.2;11.6;1119.0;512;607;8342.0;4.455;3.887;6938.0;3.152;3.786;991.0;582;409
2015;Anual;4;Salamanca;43;Fuente del Berro;20750;11.44;64.41;24.15;38.26;34.4;40.4;129.7;10.8;1012.0;471;541;9003.0;4.921;4.082;6910.0;3.155;3.755;1020.0;596;424
2016;Anual;4;Salamanca;43;Fuente del Berro;20729;11.46;64.17;24.37;38.06;34.0;40.4;129.1;10.69;931.0;409;522;9498.0;5.257;4.241;7801.0;3.597;4.204;1004.0;599;405
2017;Anual;4;Salamanca;43;Fuente del Berro;20585;11.38;63.86;24.77;38.49;34.2;41.0;128.7;10.74;806.0;352;454;9872.0;5.457;4.415;8204.0;3.749;4.455;1083.0;646;437
2018;Anual;4;Salamanca;43;Fuente del Berro;20747;11.18;64.2;24.63;38.07;33.2;40.8;129.4;11.13;756.0;310;446;10519.0;5.886;4.415;8258.0;3.798;4.460;945.0;582;437
2019;Anual;4;Salamanca;43;Fuente del Berro;21071;11.11;64.54;24.36;37.7;32.6;40.7;129.1;11.82;794.0;332;462;12599.0;7.086;5.513;8503.0;3.920;4.583;1214.0;708;506
2020;Anual;4;Salamanca;43;Fuente del Berro;21249;10.89;64.81;24.29;36.7;31.5;39.7;128.9;12.98;1012.0;410;602;11934.0;6.428;5.506;8710.0;4.049;4.661;1261.0;719;542
2021;Anual;4;Salamanca;43;Fuente del Berro;20963;10.76;64.92;24.31;36.8;31.3;39.9;129.0;13.15;852.0;367;485;11528.0;6.199;5.329;8628.0;4.036;4.592;1211.0;714;497
2022;Anual;4;Salamanca;43;Fuente del Berro;20848;10.79;64.5;24.71;36.4;30.8;39.6;129.4;13.25;674.0;300;374;12939.0;6.969;5.970;8769.0;4.102;4.667;1214.0;712;502
2005;Anual;1;Centro;15;Universidad;34994;9.79;72.89;17.31;35.27;26.8;39.4;112.3;27.59;;;;;;;;;;;;
2006;Anual;1;Centro;15;Universidad;35349;9.48;73.57;16.94;35.43;26.5;39.7;111.9;29.1;;;;;;;;;;;;
2007;Anual;1;Centro;15;Universidad;33011;9.21;73.65;17.15;36.2;26.8;40.7;111.3;26.51;;;;;;;;;;;;
2008;Anual;1;Centro;15;Universidad;32966;9.03;74.29;16.68;37.04;28.3;41.3;111.0;26.52;;;;;;;;;;;;
2009;Anual;1;Centro;15;Universidad;33421;9.09;74.56;16.35;37.91;29.5;42.1;109.2;27.18;;;;;;;;;;;;
2010;Anual;1;Centro;15;Universidad;33493;9.12;74.73;16.14;39.21;30.7;43.5;107.8;26.95;;;;30342.0;16.167;14.175;;;;2629.0;1.673;956
2011;Anual;1;Centro;15;Universidad;33293;9.13;74.87;16.0;39.95;32.4;43.8;108.5;26.34;;;;30944.0;16.470;14.474;;;;2732.0;1.734;998
2012;Anual;1;Centro;15;Universidad;32638;9.24;74.55;16.2;39.92;31.9;44.1;109.2;23.79;2509.0;1.284;1.225;32074.0;16.721;15.353;;;;2272.0;1.464;808
2013;Anual;1;Centro;15;Universidad;32468;9.0;74.86;16.14;39.87;31.6;44.4;110.1;22.97;2387.0;1.215;1.172;29760.0;15.307;14.453;12819.0;6.339;6.480;2409.0;1.514;895
2014;Anual;1;Centro;15;Universidad;31412;8.82;74.62;16.55;38.67;30.2;43.3;110.1;21.65;2290.0;1.206;1.084;29716.0;15.580;14.136;11082.0;5.451;5.631;2775.0;1.745;1.030
2015;Anual;1;Centro;15;Universidad;30660;8.67;74.42;16.91;38.43;30.6;42.9;108.8;20.39;2021.0;1.046;975;30823.0;16.142;14.681;10846.0;5.357;5.489;2914.0;1.839;1.075
2016;Anual;1;Centro;15;Universidad;30846;8.38;74.86;16.76;37.98;30.2;42.4;107.8;20.23;1776.0;875;901;32092.0;16.853;15.239;12502.0;6.315;6.187;2888.0;1.788;1.100
2017;Anual;1;Centro;15;Universidad;30709;8.42;74.83;16.74;37.19;29.5;41.7;106.7;20.26;1604.0;775;829;32675.0;17.232;15.443;13617.0;6.938;6.679;3171.0;1.995;1.176
2018;Anual;1;Centro;15;Universidad;30897;8.21;75.27;16.52;35.99;27.8;40.8;105.4;20.96;1494.0;742;752;31994.0;16.696;15.298;13378.0;6.843;6.535;2417.0;1.527;890
2019;Anual;1;Centro;15;Universidad;31725;8.03;75.68;16.29;35.1;27.1;39.9;103.8;21.58;1565.0;787;778;33111.0;17.165;15.946;13824.0;7.104;6.720;3502.0;2.156;1.346
2020;Anual;1;Centro;15;Universidad;33418;7.49;76.9;15.61;33.5;25.8;38.3;101.5;22.78;2193.0;1.113;1.080;34152.0;16.741;17.411;14372.0;7.492;6.720;3631.0;2.215;1.416
2021;Anual;1;Centro;15;Universidad;33426;7.17;77.18;15.66;32.8;25.1;37.6;100.3;;1701.0;876;825;32075.0;15.883;16.192;14985.0;7.888;6.720;3550.0;2.189;1.361
2022;Anual;1;Centro;15;Universidad;32861;7.13;77.0;15.87;32.3;24.8;36.9;101.0;;1234.0;600;634;34796.0;16.897;17.899;15473.0;8.244;7.229;3552.0;2.186;1.366
2005;Anual;4;Salamanca;41;Recoletos;15614;12.89;66.98;20.13;39.19;28.4;44.4;128.0;14.32;;;;;;;;;;;;
2006;Anual;4;Salamanca;41;Recoletos;15871;12.91;67.13;19.95;38.36;28.8;43.4;129.1;15.96;;;;;;;;;;;;
2007;Anual;4;Salamanca;41;Recoletos;15200;12.53;67.26;20.2;38.73;29.4;43.8;128.4;15.31;;;;;;;;;;;;
2008;Anual;4;Salamanca;41;Recoletos;15364;12.5;67.38;20.11;38.87;30.6;43.4;127.6;15.98;;;;;;;;;;;;
2009;Anual;4;Salamanca;41;Recoletos;15398;12.44;67.37;20.18;38.72;29.9;43.6;128.3;16.33;;;;;;;;;;;;
2010;Anual;4;Salamanca;41;Recoletos;15640;12.33;67.36;20.3;38.2;29.1;43.4;126.7;16.39;;;;45078.0;21.819;23.259;;;;2496.0;1.561;935
2011;Anual;4;Salamanca;41;Recoletos;15693;12.32;67.02;20.66;37.23;28.6;42.3;125.8;16.42;;;;44905.0;22.214;22.691;;;;2514.0;1.582;932
