anio,periodo,codigodistrito,codigobarrio,nombrebarrio,datopoblacion,datopoblacionmenor16,datopoblacionentre16y64,datopoblacionmayor65,datosobreenvejecimiento,datosobreenvejecimientohombres,datosobreenvejecimientomujeres,datofeminidad,datorentamedia,datoparadosregistrados,datoparadosregistradoshombres,datoparadosregistradosmujer,datoafiliacionestrabajo,datoafiliacionestrabajohombres,datoafiliacionestrabajomujer,datoafiliacionesresidencia,datoafiliacionesresidenciahombres,datoafiliacionesresidenciamujer,datoautonomo,datoautonomoshombres,datoautonomosmujer,date,objectid_joined,coddis_joined,nomdis_joined,cod_bar_joined,nombre_joined,shape_leng_joined,cod_dis_tx_joined,barrio_may_joined,cod_disbar_joined,num_bar_joined,barrio_mt_joined,cod_disb_joined,shape_star_joined,shape_stle_joined
2022,Anual,9,93,Ciudad Universitaria,16220,12.84,61.49,25.67,33.4,30.2,35.4,116.6,,353,150,203,50752,18.48,32.272,6017,2.939,3.078,994,623,371,01/01/2022,244,9,Moncloa - Aravaca,93,Ciudad Universitaria,19475.73451612,9,CIUDAD UNIVERSITARIA,93,3,CIUDAD UNIVERSITARIA,9-3,14250853.2398,19475.7345161
2022,Anual,9,94,Valdezarza,29802,12.67,62.15,25.18,35,31.7,37,119.1,,1151,498,653,3463,1.476,1.987,11832,5.704,6.128,1045,649,396,01/01/2022,239,9,Moncloa - Aravaca,94,Valdezarza,5347.7821719,9,VALDEZARZA,94,4,VALDEZARZA,9-4,1397455.73339,5347.78217191
2022,Anual,9,95,Valdemarín,7048,24.89,63.65,11.46,31.6,22.5,38.4,114.7,,109,46,63,13553,6.008,7.545,2737,1.332,1.405,535,296,239,01/01/2022,242,9,Moncloa - Aravaca,95,Valdemarín,8289.75749118,9,VALDEMARIN,95,5,VALDEMARÍN,9-5,3302462.34272,8289.75749118
2022,Anual,9,96,El Plantío,2998,18.91,61.94,19.15,25.8,23.2,27.9,116.6,,55,20,35,10095,5.522,4.573,1184,574,610,352,226,126,01/01/2022,245,9,Moncloa - Aravaca,96,El Plantío,9950.43889734,9,EL PLANTIO,96,6,EL PLANTÍO,9-6,3528175.0947,9950.43889734
2022,Anual,9,97,Aravaca,27323,18.08,65.75,16.17,26.4,22.2,29.7,113.8,,531,226,305,11617,4.223,7.394,10820,5.254,5.566,1717,1.004,713,01/01/2022,234,9,Moncloa - Aravaca,97,Aravaca,10869.46795468,9,ARAVACA,97,7,ARAVACA,9-7,5834041.44124,10869.4679547
2022,Anual,10,101,Los Cármenes,17543,13.24,69.77,16.99,35.1,29.9,38.4,111.3,,1124,467,657,2012,974,1.038,6912,3.407,3.505,598,415,183,01/01/2022,176,10,Latina,101,Los Cármenes,6182.22331316,10,LOS CARMENES,101,1,LOS CÁRMENES,10-1,1291998.54433,6182.22331316
2022,Anual,10,102,Puerta del Ángel,41401,11.03,68.62,20.35,39.4,32.8,43.5,116.6,,2124,903,1.221,7334,4.111,3.223,16960,8.091,8.869,1977,1.254,723,01/01/2022,184,10,Latina,102,Puerta del Ángel,5368.77588392,10,PUERTA DEL ANGEL,102,2,PUERTA DEL ÁNGEL,10-2,1375298.04853,5368.77588392
2022,Anual,10,103,Lucero,36062,11.95,66.03,22.01,41.6,37.5,44.3,113.5,,1710,804,906,4310,2.192,2.118,14415,6.914,7.501,1245,815,430,01/01/2022,178,10,Latina,103,Lucero,5498.29738199,10,LUCERO,103,3,LUCERO,10-3,1678995.60271,5498.29738199
2022,Anual,10,104,Aluche,65833,11.17,59.6,29.23,37.7,38.8,37,118.8,,2628,1.182,1.446,9110,4.298,4.812,24739,11.744,12.995,2463,1.611,852,01/01/2022,164,10,Latina,104,Aluche,7267.78655978,10,ALUCHE,104,4,ALUCHE,10-4,2849809.70733,7267.78655978
2022,Anual,10,105,Campamento,19337,12.57,64.03,23.41,41.6,40.3,42.5,115.6,,750,319,431,1717,976,741,7400,3.338,4.062,621,422,199,01/01/2022,161,10,Latina,105,Campamento,16523.70180977,10,CAMPAMENTO,105,5,CAMPAMENTO,10-5,9191379.46528,16523.7018098
2022,Anual,10,106,Cuatro Vientos,5966,21.57,71.44,6.99,18.5,15.3,21.5,99.1,,272,94,178,3723,1.071,2.652,2755,1.392,1.363,152,103,49,01/01/2022,140,10,Latina,106,Cuatro Vientos,10117.75419449,10,CUATRO VIENTOS,106,6,CUATRO VIENTOS,10-6,5430118.61157,10117.7541945
2022,Anual,10,107,Águilas,50906,11.54,60.74,27.72,39,38.7,39.1,115.9,,2108,891,1.217,4378,2.294,2.084,19800,9.488,10.312,1487,947,540,01/01/2022,152,10,Latina,107,Águilas,7627.75299821,10,AGUILAS,107,7,ÁGUILAS,10-7,3609602.61663,7627.75299821
2022,Anual,11,111,Comillas,22214,10.87,65.5,23.63,37.2,31.6,40.6,117.1,,1067,435,632,3424,1.845,1.579,8848,4.295,4.553,1129,747,382,01/01/2022,160,11,Carabanchel,111,Comillas,4257.85571595,11,COMILLAS,111,1,COMILLAS,11-1,666096.128544,4257.85571595
