CodigoBarrio;Anio;numero_alojamientos
46;2019;14
46;2020;13
46;2021;12
46;2022;12
51;2015;5
51;2016;4
51;2017;4
51;2018;4
51;2019;4
51;2020;3
51;2021;3
51;2022;3
52;2015;3
52;2016;3
52;2017;4
52;2018;4
52;2019;4
52;2020;5
52;2021;5
52;2022;8
53;2015;3
53;2016;3
53;2017;3
53;2018;3
53;2019;4
53;2020;4
53;2021;6
53;2022;8
54;2015;7
54;2016;7
54;2017;8
54;2018;6
54;2019;5
54;2020;5
54;2021;6
54;2022;6
55;2015;5
55;2016;5
55;2017;5
55;2018;6
55;2019;5
55;2020;6
55;2021;7
55;2022;7
56;2015;10
56;2016;5
56;2017;8
56;2018;7
56;2019;8
56;2020;8
56;2021;11
56;2022;10
61;2015;6
61;2016;6
61;2017;6
61;2018;6
61;2019;7
61;2020;8
61;2021;9
61;2022;12
62;2015;13
62;2016;13
62;2017;15
62;2018;15
62;2019;16
62;2020;19
62;2021;22
62;2022;28
63;2015;10
63;2016;11
63;2017;11
63;2018;12
63;2019;12
63;2020;12
63;2021;10
63;2022;10
64;2015;4
64;2016;3
64;2017;3
64;2018;3
64;2019;5
64;2020;7
64;2021;11
64;2022;14
65;2015;2
65;2016;1
65;2017;1
65;2018;1
65;2019;1
65;2020;2
65;2021;4
65;2022;8
66;2015;1
66;2016;1
66;2017;1
66;2018;2
66;2019;2
66;2020;3
66;2021;4
66;2022;8
71;2015;5
71;2016;5
71;2017;5
71;2018;6
71;2019;8
71;2020;10
71;2021;14
71;2022;17
72;2015;4
72;2016;4
72;2017;5
72;2018;5
72;2019;5
72;2020;5
72;2021;5
72;2022;5
73;2015;8
73;2016;9
73;2017;11
73;2018;11
73;2019;11
73;2020;13
73;2021;17
73;2022;20
74;2015;9
74;2016;7
74;2017;6
74;2018;8
74;2019;9
74;2020;9
74;2021;9
74;2022;9
75;2015;11
75;2016;7
75;2017;7
75;2018;8
75;2019;10
75;2020;11
75;2021;11
75;2022;12
76;2015;16
76;2016;15
76;2017;16
76;2018;15
76;2019;15
76;2020;16
76;2021;19
76;2022;19
82;2015;1
82;2016;1
82;2017;1
82;2018;1
82;2019;1
82;2020;1
82;2021;1
82;2022;2
83;2022;1
84;2020;2
84;2021;4
84;2022;7
85;2015;3
85;2016;4
85;2017;4
85;2018;4
85;2019;4
85;2020;3
85;2021;3
85;2022;3
86;2015;8
86;2016;8
86;2017;8
86;2018;8
86;2019;8
86;2020;10
86;2021;19
86;2022;26
87;2015;2
87;2016;2
87;2017;2
87;2018;2
87;2019;1
87;2020;1
87;2021;1
87;2022;1
88;2015;3
88;2016;3
88;2017;3
88;2018;3
88;2019;3
88;2020;3
88;2021;3
88;2022;3
91;2015;4
91;2016;4
91;2017;4
91;2018;4
91;2019;4
91;2020;4
91;2021;5
91;2022;5
92;2015;15
92;2016;17
92;2017;17
92;2018;17
92;2019;16
92;2020;19
92;2021;23
92;2022;25
93;2015;34
93;2016;33
93;2017;33
93;2018;36
93;2019;37
93;2020;37
93;2021;37
93;2022;37
94;2019;1
94;2020;1
94;2021;1
94;2022;1
95;2015;7
95;2016;7
95;2017;7
