Año,Id Área,Nombre Área,Presupuesto Gasto,Gasto Real
2020,NN,Varios distritos,172435792.79,104307963.45
2020,201,Centro,27767983.24,19694502.15
2020,203,Retiro,17195378.42,12522308.88
2020,202,Arganzuela,13326297.52,12038484.0
2020,205,Chamartín,14514439.4,13803217.97
2020,204,Salamanca,2608992.05,1848787.02
2020,207,Chamberí,8130251.53,7357486.09
2020,206,Tetuán,10971310.93,9094916.03
2020,209,Moncloa-Aravaca,31267496.42,26174120.27
2020,208,Fuencarral-El Pardo,16684974.47,8390174.63
2020,221,Barajas,10448303.33,7646390.39
2020,220,San Blas-Canillejas,18162625.04,13123280.18
2020,NA,No distritalizable,24742212.24,18722283.92
2021,216,Hortaleza,19953495.46,15083615.14
2021,217,Villaverde,24723200.36,20348065.51
2021,214,Moratalaz,12081786.57,11357128.21
2021,215,Ciudad Lineal,18832048.75,17177244.22
2021,212,Usera,22390785.88,17794520.78
2021,213,Puente de Vallecas,29214427.23,21868155.26
2021,210,Latina,21649116.11,16162383.75
2021,211,Carabanchel,14112243.45,12850008.8
2021,218,Villa de Vallecas,49972989.39,41939266.35
2021,219,Vicálvaro,31912251.44,24624196.57
2021,NN,Varios distritos,99088097.17,54046358.46
2021,201,Centro,48754009.26,44130326.55
2021,203,Retiro,16761072.01,12843147.34
2021,202,Arganzuela,19607676.78,18073879.25
2021,205,Chamartín,27563489.11,25026249.59
2021,204,Salamanca,14249306.9,7953361.02
2021,207,Chamberí,13243024.77,10516252.51
2021,206,Tetuán,15663394.8,8612802.4
2021,209,Moncloa-Aravaca,55709275.13,50366415.95
2021,208,Fuencarral-El Pardo,40329105.53,35399693.39
2021,221,Barajas,13365568.02,10081104.93
2021,220,San Blas-Canillejas,21782606.13,14483519.19
2021,NA,No distritalizable,22048625.45,19839730.99
2022,216,Hortaleza,25780972.15,10758513.65
2022,217,Villaverde,32145160.33,17806794.44
2022,214,Moratalaz,14879252.63,5401586.85
2022,215,Ciudad Lineal,28911195.75,15359684.09
2022,212,Usera,33422637.35,15439923.63
2022,213,Puente de Vallecas,40645922.88,18425836.94
2022,210,Latina,25264591.06,11591559.32
2022,211,Carabanchel,27050985.92,9196830.62
2022,218,Villa de Vallecas,61612135.21,16889652.8
2022,219,Vicálvaro,38156947.44,21545351.33
2022,NN,Varios distritos,106348185.04,20620363.86
2022,201,Centro,52214942.28,23769047.27
2022,203,Retiro,34965826.66,17892033.98
2022,202,Arganzuela,76613123.62,45898688.96
2022,205,Chamartín,37477835.37,19622179.43
2022,204,Salamanca,28786451.64,13663780.17
2022,207,Chamberí,12465436.19,5711914.2
2022,206,Tetuán,27954621.54,14227158.75
2022,209,Moncloa-Aravaca,50699295.81,23601782.27
2022,208,Fuencarral-El Pardo,58258262.92,32137516.06
2022,221,Barajas,26830587.35,10127649.43
2022,220,San Blas-Canillejas,29669875.5,15787922.41
2022,NA,No distritalizable,14036645.79,7615019.79
